ID,Caption
3260,(List of AutoText Entries)
1384,0 pt.
746,1
830,1 Doc1.docm
5,1. Spacing
55,1.5 Spacing
1387,144 pt.
1388,288 pt.
169,3-D Color
137,3-D On/Off
1057,3-D Settings...
33,3-D Style
1451,3-D Styles
1385,36 pt.
1386,72 pt.
927,About Microsoft Word
6242,Accept All Changes
6241,Accept All Changes Shown
171,Accept Change
3008,Action
5933,Activate Product...
141,Add Point
21,Add Record
15629,Add Space Before Paragraph
1022,Add to Favorites...
1336,Add to Outlook Contacts
2257,Additional Actions
174,Address:
1126,Adjust List Indents...
29,Adjust Margins
1278,Align Bottom
392,Align Bottom Center
392,Align Bottom Left
392,Align Bottom Right
391,Align Center
391,Align Center Left
391,Align Center Right
12,Align Left
1278,Align Middle
30174,Align or Distribute
12,Align Right
1278,Align Top
391,Align Top Center
391,Align Top Left
391,Align Top Right
82,All
6074,All Assistants
170,All Borders
6075,All Connecting Lines
3042,All Entries
6999,All Reviewers
901,Allow Multiple Pages
1149,Allow Typing
9317,Always
912,Annotation Pen
113,Arc
298,Arrange All
69,Arrow Style
1449,Arrow Styles
115,Arrow: Bent
115,Arrow: Bent-Up
115,Arrow: Chevron
115,Arrow: Circular
116,Arrow: Curved Down
116,Arrow: Curved Left
116,Arrow: Curved Right
116,Arrow: Curved Up
114,Arrow: Down
114,Arrow: Left
114,Arrow: Left-Right
114,Arrow: Left-Right-Up
115,Arrow: Left-Up
115,Arrow: Notched Right
115,Arrow: Pentagon
114,Arrow: Quad
114,Arrow: Right
115,Arrow: Striped Right
115,Arrow: U-Turn
114,Arrow: Up
114,Arrow: Up-Down
584,Assistant
142,Auto Point
793,AutoCorrect Options...
3045,AutoFit
30460,AutoFit and Distribute
3907,AutoFit to Contents
3908,AutoFit to Window
606,AutoFormat
144,AutoFormat...
6071,AutoLayout
1365,Automatic
192,Automatic Color
2630,AutoShapes
22,AutoSum
1709,AutoSummarize...
30181,AutoText
20,AutoText...
101,Back
30403,Background
31330,Balloons
999,Ballpoint Pens
263,Basic Shapes
400,Behind Text
906,Black
1367,Black and White
113,Block Arc
104,Block Arrows
1783,Block Authors
906,Blue
11,Bold
758,Bookmark...
172,Border Style
2411,Border Styles
262,Border Width
20,Borders
78,Borders and Shading...
6132,Both Hanging
286,Bottom Border
6073,Branch
230,Break Forward Link
766,Break...
1392,Bright
17,Bring Forward
16,Bring in Front of Text
16,Bring to Front
1,Bullets
783,Bullets and Numbering...
574,Business Bar
116,Callout: Down Arrow
116,Callout: Left Arrow
116,Callout: Left-Right Arrow
121,Callout: Line
117,Callout: Quad Arrow
116,Callout: Right Arrow
116,Callout: Up Arrow
116,Callout: Up-Down Arrow
104,Callouts
12,Can't Redo
335,Can't Repeat
12,Can't Undo
3678,Cell
3046,Cell Alignment
292,Cells...
12,Center
30080,Change AutoShape
309,Change Case...
1254,"Change Shape to ""No"" Symbol"
1306,Change Shape to 16-Point Star
1307,Change Shape to 24-Point Star
1308,Change Shape to 32-Point Star
2681,Change Shape to 4-Point Star
1304,Change Shape to 5-Point Star
1305,Change Shape to 8-Point Star
1260,Change Shape to Arc
1273,Change Shape to Bent Arrow
1272,Change Shape to Bent-Up Arrow
1251,Change Shape to Bevel
1255,Change Shape to Block Arc
1247,Change Shape to Can
1278,Change Shape to Chevron
1279,Change Shape to Circular Arrow
1296,Change Shape to Cloud Callout
1242,Change Shape to Cross
1243,Change Shape to Cube
1284,Change Shape to Curved Down Arrow
1302,Change Shape to Curved Down Ribbon
1282,Change Shape to Curved Left Arrow
1283,Change Shape to Curved Up Arrow
1303,Change Shape to Curved Up Ribbon
1235,Change Shape to Diamond
1253,Change Shape to Donut
2680,Change Shape to Double Brace
2679,Change Shape to Double Bracket
2682,Change Shape to Double Wave
1266,Change Shape to Down Arrow
1288,Change Shape to Down Arrow Callout
1300,Change Shape to Down Ribbon
1309,Change Shape to Explosion 1
1310,Change Shape to Explosion 2
1312,Change Shape to Flowchart: Alternate Process
1325,Change Shape to Flowchart: Card
1329,Change Shape to Flowchart: Collate
1323,Change Shape to Flowchart: Connector
1314,Change Shape to Flowchart: Data
1313,Change Shape to Flowchart: Decision
1339,Change Shape to Flowchart: Delay
1337,Change Shape to Flowchart: Direct Access Storage
1338,Change Shape to Flowchart: Display
1317,Change Shape to Flowchart: Document
1331,Change Shape to Flowchart: Extract
1316,Change Shape to Flowchart: Internal Storage
1336,Change Shape to Flowchart: Magnetic Disk
1321,Change Shape to Flowchart: Manual Input
1322,Change Shape to Flowchart: Manual Operation
1332,Change Shape to Flowchart: Merge
1318,Change Shape to Flowchart: Multidocument
1324,Change Shape to Flowchart: Off-page Connector
1328,Change Shape to Flowchart: Or
1315,Change Shape to Flowchart: Predefined Process
1320,Change Shape to Flowchart: Preparation
1311,Change Shape to Flowchart: Process
1326,Change Shape to Flowchart: Punched Tape
1335,Change Shape to Flowchart: Sequential Access Storage
1330,Change Shape to Flowchart: Sort
1334,Change Shape to Flowchart: Stored Data
1327,Change Shape to Flowchart: Summing Junction
1319,Change Shape to Flowchart: Terminator
1250,Change Shape to Folded Corner
1262,Change Shape to Heart
1241,Change Shape to Hexagon
1249,Change Shape to Horizontal Scroll
1238,Change Shape to Isosceles Triangle
1264,Change Shape to Left Arrow
1286,Change Shape to Left Arrow Callout
1258,Change Shape to Left Brace
1256,Change Shape to Left Bracket
1267,Change Shape to Left-Right Arrow
1289,Change Shape to Left-Right Arrow Callout
1270,Change Shape to Left-Right-Up Arrow
1271,Change Shape to Left-Up Arrow
1261,Change Shape to Lightning Bolt
1340,Change Shape to Line Callout 1
1341,Change Shape to Line Callout 1 (Accent Bar)
1349,Change Shape to Line Callout 1 (Border and Accent Bar)
1345,Change Shape to Line Callout 1 (No Border)
1297,Change Shape to Line Callout 2
1342,Change Shape to Line Callout 2 (Accent Bar)
1350,Change Shape to Line Callout 2 (Border and Accent Bar)
1346,Change Shape to Line Callout 2 (No Border)
1298,Change Shape to Line Callout 3
1343,Change Shape to Line Callout 3 (Accent Bar)
1351,Change Shape to Line Callout 3 (Border and Accent Bar)
1347,Change Shape to Line Callout 3 (No Border)
1299,Change Shape to Line Callout 4
1344,Change Shape to Line Callout 4 (Accent Bar)
1231,Change Shape to Line Callout 4 (Border and Accent Bar)
1348,Change Shape to Line Callout 4 (No Border)
2678,Change Shape to Moon
1276,Change Shape to Notched Right Arrow
1237,Change Shape to Octagon
1240,Change Shape to Oval
1295,Change Shape to Oval Callout
1233,Change Shape to Parallelogram
1277,Change Shape to Pentagon
1244,Change Shape to Plaque
1269,Change Shape to Quad Arrow
1291,Change Shape to Quad Arrow Callout
1232,Change Shape to Rectangle
1293,Change Shape to Rectangular Callout
1245,Change Shape to Regular Pentagon
1263,Change Shape to Right Arrow
1285,Change Shape to Right Arrow Callout
1259,Change Shape to Right Brace
1257,Change Shape to Right Bracket
1239,Change Shape to Right Triangle
1236,Change Shape to Rounded Rectangle
1294,Change Shape to Rounded Rectangular Callout
1252,Change Shape to Smiley Face
1275,Change Shape to Striped Right Arrow
2677,Change Shape to Sun
1234,Change Shape to Trapezoid
1274,Change Shape to U-Turn Arrow
1265,Change Shape to Up Arrow
1287,Change Shape to Up Arrow Callout
1301,Change Shape to Up Ribbon
1268,Change Shape to Up-Down Arrow
1290,Change Shape to Up-Down Arrow Callout
1248,Change Shape to Vertical Scroll
1246,Change Shape to Wave
287,Change Text Direction
3118,Change to
1,Chart
22,Check Box
9340,Check for Updates
6128,Check In...
36,Check Names
6127,Check Out
3972,Chinese Envelope...
113,Circle: Hollow
30021,Clear
68,Clip Art...
84,Close
17,Close Full Screen
142,Close Path
92,Close Picture
609,Closing...
13,Collapse
24618,Collapse All Headings
24617,Collapse Heading
163,Collapse Subdocuments
140,Color
802,Column
294,Columns
9,Columns...
351,Combine Characters...
22,Combo Box
185,Command Button
6231,Comments
2338,Compare and Merge Documents...
7698,Compare Side by Side with Doc1.docm
769,Compare Side by Side with Document 5.docm
638,Compress Pictures...
104,Connector: Curved
264,Connector: Curved Arrow
264,Connector: Curved Double-Arrow
104,Connector: Elbow
264,Connector: Elbow Arrow
264,Connector: Elbow Double-Arrow
263,Connectors
7903,Contact Support
7024,Contents
612,Continue Numbering
54,Control Toolbox
30447,Convert
278,Convert to Endnote
3487,Copilot
1,Copy
157,Copy Hyperlink
938,Copy Ink As Text
4661,Copy Link to Location...
142,Corner Point
585,Coworker
96,Create AutoText...
23,Create Subdocument
230,Create Text Box Link
73,Crop
112,Cross
775,Cross-reference...
112,Cube
104,Curve
209,Curved Connector
141,Curved Segment
1572,Custom:
797,Customize...
2,Cut
5830,Cycle
112,Cylinder
69,Dash Style
1448,Dash Styles
327,Data Form
2414,Data Grid
21,Database...
12,Date
768,Date and Time...
1,Decrease Indent
738,Decrease Text Size
585,Delete
6247,Delete All Comments in Document
6246,Delete All Comments Shown
9320,Delete All Ink Annotations in Document
33,Delete Cells...
159,Delete Comment
383,Delete Frame
35,Delete Mail
141,Delete Point
21,Delete Record
269,Delete Segment
682,Delete Shape
23,Delete Subdocument
367,Delete Table
13,Demote
13,Demote to Body Text
137,Depth
160,Design Mode
3774,Detect and Repair...
184,Diagonal Down Border
184,Diagonal Up Border
103,Diagram...
111,Diamond
1394,Dim
138,Direction
696,Display for Review
206,Distribute Columns Evenly
40,Distribute Horizontally
206,Distribute Rows Evenly
46,Distribute Vertically
279,Distributed
381,Do Not Refresh
7710,Document Management...
171,Document Map
280,Dot Accent
263,Double Brace
263,Double Bracket
5,Double Spacing
71,Double Strikethrough
263,Double Wave
103,Down
992,Download Pictures
3133,Draw
205,Draw Table
31,Draw Vertical Text Box
20,Drawing
788,Drawing and Writing Pen
28,Drop Cap...
722,Edit
646,Edit Address Block...
2456,Edit Barcode...
21,Edit Box
1533,Edit Citation
205,Edit Comment
573,Edit Field...
282,Edit Footer
646,Edit Greeting Line...
1412,Edit Header
157,Edit Hyperlink...
20,Edit Points
1533,Edit Source
140,Edit Text
209,Edit Text...
137,Edit Wrap Points
396,Enclose Characters...
614,End Review...
3660,English (United States)
1445,English Assistance
2,Envelope
794,Envelopes and Labels...
206,Eraser
16,Error Check Merge
938,Exchange Folder...
142,Exit Edit Point
141,Exit Rotate Mode
752,Exit Word
13,Expand
24615,Expand All Headings
6828,Expand Diagram
24614,Expand Heading
2504,Expand/Collapse
3787,Explain
118,Explosion: 1 Points
1189,Explosion: 14 Points
1188,Explosion: 8 Points
118,Explosion: Points
1521,Extrusion Direction
3017,Favorites
999,Felt Tip Pens
772,Field...
3000,File
3370,File Permissions
5905,File Search...
77,File...
169,Fill Color
100,Fill Effects...
1133,Fill in Label
6234,Final
653,Find Entry
18,Find in Field
141,Find...
15,First
25,First Line Only View
586,Fit
6826,Fit Diagram to Contents
6,Fit To Window
3909,Fixed Column Width
19,Flip Horizontal
19,Flip Vertical
104,Flowchart
119,Flowchart: Alternate Process
120,Flowchart: Card
120,Flowchart: Collate
120,Flowchart: Connector
119,Flowchart: Data
119,Flowchart: Decision
121,Flowchart: Delay
121,Flowchart: Direct Access Storage
121,Flowchart: Display
119,Flowchart: Document
121,Flowchart: Extract
119,Flowchart: Internal Storage
121,Flowchart: Magnetic Disk
120,Flowchart: Manual Input
120,Flowchart: Manual Operation
121,Flowchart: Merge
119,Flowchart: Multidocument
120,Flowchart: Off-page Connector
120,Flowchart: Or
119,Flowchart: Predefined Process
119,Flowchart: Preparation
119,Flowchart: Process
120,Flowchart: Punched Tape
121,Flowchart: Sequential Access Storage
120,Flowchart: Sort
121,Flowchart: Stored Data
120,Flowchart: Summing Junction
119,Flowchart: Terminator
1506,Follow Move
40,Font Color
173,Font Size:
25,Font...
172,Font:
764,Footnotes
3000,Format
232,Format AutoShape/Picture
78,Format Frame...
238,Format Page Numbers...
10,Format Painter
872,Formats
6233,Formatting
807,Formula...
35,Forward
317,Frame
376,Frame Properties...
30452,Frames
68,Free Rotate
40,Freeform: Scribble
20,Freeform: Shape
1764,From Scanner or Camera...
161,Full Screen
378,Function Key 8
3032,Go
3404,Go to Comment
321,Go to Endnote
321,Go to Footnote
611,Go to TOC
378,Go To...
32,Grammar...
1366,Grayscale
609,Greeting...
217,Grid...
164,Group
3017,Grouping
762,Header and Footer
805,Heading Rows Repeat
114,Heart
98,Help
112,Hexagon
24,Hide Body Text
321,Hide Grammatical Errors
2536,Hide Pictures by Comments
321,Hide Spelling Errors
34,Highlight
606,Highlight Merge Fields
218,Highlight/Show Only Summary
999,Highlighters
365,Horizontal Line...
157,Hyperlink...
2800,Hyphenation...
208,Image
23,Import Subdocument
7800,In a Document Library...
400,In Front of Text
593,In Line with Text
1,Increase Indent
738,Increase Text Size
776,Index and Tables...
1389,Infinity
907,Ink Annotations
1457,Ink Comment
940,Ink Drawing and Writing
69,Ink Width
3000,Insert
634,Insert Address Block
377,Insert AutoText
77,Insert Caption...
295,Insert Cells...
3685,Insert Columns to the Left
3687,Insert Columns to the Right
14,Insert Excel Spreadsheet
634,Insert Greeting Line
940,Insert Ink Annotations
634,Insert Merge Fields
609,Insert Previous Greeting
3681,Insert Rows Above
3683,Insert Rows Below
692,Insert Shape
13806,Insert Symbol
8,Insert Table...
3007,Insert Word Field
6232,Insertions and Deletions
14,Inside Borders
184,Inside Horizontal Border
184,Inside Vertical Border
111,Isosceles Triangle
11,Italic
35,Item
1122,Join To Previous List
12,Justify
1361,Kern Character Pairs
365,Keyboard Language
185,Label
30182,Language
15,Last
3115,Layout
103,Left
1108,Left Align
286,Left Border
113,Left Brace
113,Left Bracket
6133,Left Hanging
184,Left-to-Right
106,Less Brightness
106,Less Contrast
1353,Letter Justify
796,Letter Wizard...
31171,Letters and Mailings
6072,Level
138,Lighting
1473,Lighting Direction
114,Lightning Bolt
13,Line
24,Line Arrow
163,Line Arrow: Double
122,Line Callout (Accent Bar)
111,Line Callout (Border and Accent Bar)
122,Line Callout (No Border)
1220,Line Callout 1 (Accent Bar)
1228,Line Callout 1 (Border and Accent Bar)
1224,Line Callout 1 (No Border)
117,Line Callout 2
1221,Line Callout 2 (Accent Bar)
1229,Line Callout 2 (Border and Accent Bar)
1225,Line Callout 2 (No Border)
117,Line Callout 3
1222,Line Callout 3 (Accent Bar)
1230,Line Callout 3 (Border and Accent Bar)
1226,Line Callout 3 (No Border)
117,Line Callout 4
1223,Line Callout 4 (Accent Bar)
1110,Line Callout 4 (Border and Accent Bar)
1227,Line Callout 4 (No Border)
169,Line Color
573,Line spacing
2917,Line Style
1563,Line Width
1536,Linear
263,Lines
3480,Link Styles
25,Link to Previous
759,Links...
185,List Box
1133,Lock Label
1359,Loose
30017,Macro
18,Macros...
17,Magnifier
634,Mail Merge Recipients
6070,Mail Merge...
373,Mail Recipient
218,Mail Recipient (as Attachment)...
5958,Mail Recipient (for Review)...
24,Main Document
692,Main document setup
3371,Manage Access...
10014,Manage Credentials
312,Manage Fields
1149,Margin Settings
2296,Mark Comment Done
654,Markup
11455,Markup Area Highlight
23,Master Document View
634,Match Fields
647,Match Property to Formatting of Original Selection
647,Match Property to Formatting of Surrounding Text
1395,Matte
84,Maximize
378,Menu Mode
79,Merge Cells
23,Merge Subdocument
15,Merge to Document
590,Merge to E-mail
590,Merge to Fax
16,Merge to Printer
280,Merge/Split Cells
175,Message Header
1398,Metal
26,Microsoft Access
26,Microsoft Excel
622,Microsoft Outlook
26,Microsoft PowerPoint
26,Microsoft Project
26,Microsoft Publisher
26,Microsoft Schedule+
26,Microsoft Visual FoxPro
83,Minimize
647,Modify
263,Moon
1073,More 3-D Colors...
1055,More Arrows...
388,More AutoShapes...
106,More Brightness
100,More Colors...
106,More Contrast
64,More Controls...
105,More Fill Colors...
1054,More Lines...
105,More Outline Colors...
1072,More Shadow Colors...
84,Move
13,Move Down
35,Move Mail
601,Move Shape Backward
601,Move Shape Forward
377,Move Text
13,Move Up
17,Multiple Pages
738,Navigation Pane
9318,Never
252,New Blank Document
158,New Comment
5811,New Drawing
383,New Frame Above
383,New Frame Below
383,New Frame Left
383,New Frame Right
3833,New Frames Page
303,New Window
18,New...
15,Next
378,Next Field
23,Next Header
378,Next Pane
231,Next Text Box
15,No Border
145,No Color
224,Normal
113,"Not Allowed"" Symbol"
336,Note Options...
30082,Nudge
106,Nudge Shadow Down
107,Nudge Shadow Left
107,Nudge Shadow Right
106,Nudge Shadow Up
74,Number of Pages
769,Number...
1,Numbering
325,Object
546,Object...
111,Octagon
574,Office Clipboard
809,Office Clipboard...
3775,Office.com
7913,On My Computer...
5,One Page
30468,Online Collaboration
3728,Online Meeting Participant
1662,Open Contact Card
224,Open Data Source
1021,Open Favorites...
266,Open Hyperlink
269,Open Path
3460,Open with
2,Open...
609,Opening...
185,Option Button
235,Options...
3007,Order
702,Organization Chart
6235,Original
4387,Outline
611,Outline Level
15,Outside Borders
111,Oval
155,Page Number
127,Page Numbers...
24,Page Setup...
77,Paragraph...
1391,Parallel
111,Parallelogram
2,Paste
2787,Paste as Hyperlink
755,Paste Special...
105,Patterned Lines...
18,Pause Recording
940,Pen
262,Pen Color
112,Pentagon
3404,People Near Me
242,Percent of Original
31308,Permission
900,Permission (Unrestricted Access)
7994,Permission...
1390,Perspective
351,Phonetic Guide...
30180,Picture
261,Pictures...
907,Pink
112,Plaque
1396,Plastic
15,Previous
23,Previous Header
231,Previous Text Box
252,Print
287,Print Layout
10,Print Preview
4,Print...
4003,Printed Watermark
7714,Privacy Options...
1536,Professional
13,Promote
621,Promote to Heading 1
2710,Proofing
669,Propagate Labels
22,Properties
7116,Protect Document...
22,Protect Form
23,Protect Subdocument
6009,Pyramid
5829,Radial
722,Read
2732,Read Aloud
9377,Read Mode
831,Recent File Name Goes Here
145,Recently Used Colors
7392,Recipient using Internet Fax Service...
18,Record New Macro...
173,Record:
573,Recount
111,Rectangle
113,Rectangle: Beveled
112,Rectangle: Folded Corner
111,Rectangle: Rounded Corners
906,Red
378,Redo
31174,Reference
102,Refresh
338,Regroup
6245,Reject All Changes
6244,Reject All Changes Shown
171,Reject Change
624,Reject Change/Delete Comment
597,Relative to Canvas
707,Relative to Diagram
707,Relative to Organization Chart
103,Relative to Page
1346,Remove Content Control
362,Remove Hyperlink
1278,Remove Signature
15630,Remove Space After Paragraph
313,Replace...
35,Reply
35,Reply to All
622,Reply To Comment
613,Reply with Changes...
103,Reroute Connectors
734,Research...
667,Reset Form Fields
136,Reset Picture
787,Reset Window Position
6827,Resize Diagram
83,Restore
7991,Restricted Access
6094,Reveal Formatting...
609,Reverse Diagram
2796,Review selection in Editor
31184,Reviewers
623,Reviewing Pane
4458,Rewrite
4255,Rewrite with Copilot
574,Ribbon
118,Ribbon: Curved and Tilted Down
118,Ribbon: Curved and Tilted Up
117,Ribbon: Tilted Down
118,Ribbon: Tilted Up
103,Right
1352,Right Align
287,Right Border
113,Right Brace
113,Right Bracket
6134,Right Hanging
111,Right Triangle
184,Right-to-Left
19,Rotate Left 90°
30036,Rotate or Flip
19,Rotate Right 90°
259,Routing Recipient...
801,Row
293,Rows
739,Ruler
3,Save
1534,Save as New Equation...
573,Save as Picture...
378,Save As...
706,Scale Drawing
4179,Schedule Meeting...
185,Scroll Bar
112,Scroll: Horizontal
112,Scroll: Vertical
192,Search the Web
362,Security...
3118,Select
75,Select All
157,Select Hyperlink
36,Select Names...
18,Select Objects
1859,Semitransparent Shadow
17,Send Backward
16,Send Behind Text
30095,Send To
16,Send to Back
1122,Separate List
217,Set AutoShape Defaults
1122,Set Numbering Value...
3468,Set open default
790,Set Proofing Language...
2058,Set Search Page...
2057,Set Start Page...
282,Set Transparent Color
294,Shading Color
169,Shadow
217,Shadow On/Off
1056,Shadow Settings...
39,Shadow Style
1450,Shadow Styles
3123,Show
11,Show All
22,Show Field Shading
16,Show Fields/Values
25,Show Formatting
3371,Show Full URL
2816,Show Gridlines
23,Show Header/Footer
7,Show Heading 1
7,Show Heading 2
7,Show Heading 3
7,Show Heading 4
7,Show Heading 5
7,Show Heading 6
7,Show Heading 7
7,Show Heading 8
7,Show Heading 9
6250,Show Japanese Greetings Toolbar
611,Show Level
5911,Show Mail Merge Toolbar
9319,Show Only Formatting in Balloons
102,Show Only Web Toolbar
739,Show Pages
17,Shrink One Page
5950,Sign out
1277,Sign...
1277,Signature Details...
1277,Signature Setup...
376,Signatures...
5,Single Spacing
3823,Single Web Page (*.mht)
84,Size
113,Smiley Face
142,Smooth Point
315,Sort Ascending
315,Sort Descending
928,Sort...
117,Speech Bubble: Oval
117,Speech Bubble: Rectangle
117,Speech Bubble: Rectangle with Corners Rounded
256,Spelling and Grammar...
185,Spin Button
302,Split
80,Split Cells...
23,Split Subdocument
808,Split Table
136,Square
761,Standard
145,Standard Colors
118,Star: 1 Points
1185,Star: 16 Points
118,Star: 2 Points
1186,Star: 24 Points
118,Star: 3 Points
1187,Star: 32 Points
2638,Star: 4 Points
1183,Star: 5 Points
1184,Star: 8 Points
118,Star: Points
105,Stars and Banners
101,Start Page
574,Status Bar
101,Stop
943,Stop Erasing
952,Stop Inking
218,Stop Recording
264,Straight Arrow Connector
104,Straight Connector
264,Straight Double-Arrow Connector
142,Straight Point
141,Straight Segment
1355,Stretch Justify
952,Stroke Eraser
25,Style...
173,Style:
575,Styles...
585,Subordinate
3545,Summarize
263,Sun
138,Surface
787,Synchronous Scrolling
3047,Synonyms
803,Table
369,Table Insert
374,Table of Contents in Frame
370,Table Properties...
929,Table to Text...
91,Tables and Borders Toolbar
780,Tabs...
5832,Target
574,Task Pane
751,Templates and Add-ins...
13,Text Box
78,Text Direction...
1447,Text Envelopes
3415,Text Predictions
806,Text to Table...
140,Text Wrapping
3623,Theme...
9056,Thesaurus...
117,Thought Bubble: Cloud
276,Through
905,Thumbnails
137,Tight
137,Tilt Down
137,Tilt Left
137,Tilt Right
137,Tilt Up
12,Time
185,Toggle Button
321,Toggle Field Codes
30045,Toolbars
3000,Tools
276,Top and Bottom
286,Top Border
204,Track Changes
702,Translate
402,Translate to Simplified Chinese
399,Translate to Traditional Chinese
6111,Translate...
111,Trapezoid
906,Turquoise
11,Underline
4322,Undo Copilot Edit
165,Ungroup
901,Unlock Document Layout
1133,Unlock Label
7990,Unrestricted Access
103,Up
21,Update Field
611,Update TOC
700,Use AutoFormat
128,VBA-Range.Text
5833,Venn
31314,Version History
1360,Very Loose
1356,Very Tight
3000,View
156,View Code
1460,View Source
169,Visual Basic Editor
1368,Washout
112,Wave
5965,Web Component...
403,Web Design Mode
4177,Web Discussions
3621,Web Layout
3655,Web Page Preview
172,Who Is...
3000,Window
1399,Wire Frame
792,Word Count
574,Word Count Statistics
1354,Word Justify
105,WordArt Alignment
106,WordArt Character Spacing
160,WordArt Gallery
106,WordArt Same Letter Heights
105,WordArt Shape
106,WordArt Vertical Text
103,WordArt...
906,Yellow
7,Zoom 100%
925,Zoom...
173,Zoom:
